log,count
"2021-02-03 16:04:58.381 [ERROR] [com.paymaya.kalupi.closer.TransferCloser] [] [mochi-akka.actor.default-dispatcher-6] - Unexpected AccountRejection BadConfirm(be5ad370-0fbc-4caa-a24c-8933bc26173a,CreditEntryId(03f68be9-4192-4364-aac0-3bc512751ce0,1),2021-01-20T18:35:06.931Z). The cause should be investigated and fixed manually. {akkaAddress=akka://mochi@172.18.107.224:31415, sourceThread=mochi-akka.actor.default-dispatcher-6, akkaSource=akka://mochi/user/$0d, sourceActorSystem=mochi, akkaTimestamp=16:04:58.380UTC, txnId=03f68be9-4192-4364-aac0-3bc512751ce0}
",1
"2021-02-03 16:04:58.566 [ERROR] [com.paymaya.kalupi.closer.TransferCloser] [] [mochi-akka.actor.default-dispatcher-20] - Unexpected AccountRejection BadConfirm(8323a89a-5dfa-4fb0-9b82-e73e0c0b7fb1,DebitEntryId(405a1101-2915-40c9-86a6-b7868921cada,3),2021-01-20T18:48:38.318Z). The cause should be investigated and fixed manually. {akkaAddress=akka://mochi@172.18.107.224:31415, sourceThread=mochi-akka.actor.default-dispatcher-18, akkaSource=akka://mochi/user/$Xd, sourceActorSystem=mochi, akkaTimestamp=16:04:58.566UTC, txnId=405a1101-2915-40c9-86a6-b7868921cada}
",1
"2021-02-03 16:04:58.568 [ERROR] [com.paymaya.kalupi.closer.TransferCloser] [] [mochi-akka.actor.default-dispatcher-20] - Unexpected AccountRejection BadConfirm(8323a89a-5dfa-4fb0-9b82-e73e0c0b7fb1,CreditEntryId(405a1101-2915-40c9-86a6-b7868921cada,1),2021-01-20T18:48:38.318Z). The cause should be investigated and fixed manually. {akkaAddress=akka://mochi@172.18.107.224:31415, sourceThread=mochi-akka.actor.default-dispatcher-18, akkaSource=akka://mochi/user/$Xd, sourceActorSystem=mochi, akkaTimestamp=16:04:58.568UTC, txnId=405a1101-2915-40c9-86a6-b7868921cada}
",1
"2021-02-03 16:04:58.568 [ERROR] [com.paymaya.kalupi.closer.TransferCloser] [] [mochi-akka.actor.default-dispatcher-20] - Unexpected AccountRejection BadConfirm(8323a89a-5dfa-4fb0-9b82-e73e0c0b7fb1,DebitEntryId(405a1101-2915-40c9-86a6-b7868921cada,4),2021-01-20T18:48:38.318Z). The cause should be investigated and fixed manually. {akkaAddress=akka://mochi@172.18.107.224:31415, sourceThread=mochi-akka.actor.default-dispatcher-18, akkaSource=akka://mochi/user/$Xd, sourceActorSystem=mochi, akkaTimestamp=16:04:58.568UTC, txnId=405a1101-2915-40c9-86a6-b7868921cada}
",1
"2021-02-03 16:04:59.126 [ERROR] [com.paymaya.kalupi.closer.TransferCloser] [] [mochi-akka.actor.default-dispatcher-20] - Unexpected AccountRejection BadConfirm(4a6a4ff7-575b-43f3-9e1d-983ab8a5de18,DebitEntryId(405a1101-2915-40c9-86a6-b7868921cada,2),2021-01-20T18:48:38.318Z). The cause should be investigated and fixed manually. {akkaAddress=akka://mochi@172.18.107.224:31415, sourceThread=mochi-akka.actor.default-dispatcher-19, akkaSource=akka://mochi/user/$Xd, sourceActorSystem=mochi, akkaTimestamp=16:04:59.126UTC, txnId=405a1101-2915-40c9-86a6-b7868921cada}
",1
"2021-02-03 16:04:59.128 [ERROR] [com.paymaya.kalupi.closer.TransferCloser] [] [mochi-akka.actor.default-dispatcher-20] - Unexpected AccountRejection BadConfirm(4a6a4ff7-575b-43f3-9e1d-983ab8a5de18,DebitEntryId(405a1101-2915-40c9-86a6-b7868921cada,1),2021-01-20T18:48:38.318Z). The cause should be investigated and fixed manually. {akkaAddress=akka://mochi@172.18.107.224:31415, sourceThread=mochi-akka.actor.default-dispatcher-19, akkaSource=akka://mochi/user/$Xd, sourceActorSystem=mochi, akkaTimestamp=16:04:59.128UTC, txnId=405a1101-2915-40c9-86a6-b7868921cada}
",1
"2021-02-03 16:05:00.095 [ERROR] [com.paymaya.kalupi.closer.TransferCloser] [] [mochi-akka.actor.default-dispatcher-19] - Unexpected AccountRejection BadConfirm(cf0c3a5d-8927-4933-b112-622e0d3a6b95,DebitEntryId(03f68be9-4192-4364-aac0-3bc512751ce0,1),2021-01-20T18:35:06.931Z). The cause should be investigated and fixed manually. {akkaAddress=akka://mochi@172.18.107.224:31415, sourceThread=mochi-akka.actor.default-dispatcher-20, akkaSource=akka://mochi/user/$0d, sourceActorSystem=mochi, akkaTimestamp=16:05:00.095UTC, txnId=03f68be9-4192-4364-aac0-3bc512751ce0}
",1
"2021-02-03 16:05:00.151 [ERROR] [com.paymaya.kalupi.closer.TransferCloser] [] [mochi-akka.actor.default-dispatcher-20] - Unexpected AccountRejection BadConfirm(cf0c3a5d-8927-4933-b112-622e0d3a6b95,CreditEntryId(405a1101-2915-40c9-86a6-b7868921cada,4),2021-01-20T18:48:38.318Z). The cause should be investigated and fixed manually. {akkaAddress=akka://mochi@172.18.107.224:31415, sourceThread=mochi-akka.actor.default-dispatcher-18, akkaSource=akka://mochi/user/$Xd, sourceActorSystem=mochi, akkaTimestamp=16:05:00.151UTC, txnId=405a1101-2915-40c9-86a6-b7868921cada}
",1
"2021-02-03 16:15:18.162 [ERROR] [com.paymaya.kalupi.closer.TransferCloser] [] [mochi-akka.actor.default-dispatcher-19] - Unexpected AccountRejection BadConfirm(409beb1d-7733-4dcb-99dc-3bc726eae88f,DebitEntryId(49a6ff40-0ab1-4de9-975a-5b26495b0d58,1),2021-01-20T19:09:27.908Z). The cause should be investigated and fixed manually. {akkaAddress=akka://mochi@172.18.107.224:31415, sourceThread=mochi-akka.actor.default-dispatcher-21, akkaSource=akka://mochi/user/$be, sourceActorSystem=mochi, akkaTimestamp=16:15:18.161UTC, txnId=49a6ff40-0ab1-4de9-975a-5b26495b0d58}
",1
"2021-02-03 16:15:18.162 [ERROR] [com.paymaya.kalupi.closer.TransferCloser] [] [mochi-akka.actor.default-dispatcher-21] - Unexpected AccountRejection BadConfirm(409beb1d-7733-4dcb-99dc-3bc726eae88f,CreditEntryId(49a6ff40-0ab1-4de9-975a-5b26495b0d58,1),2021-01-20T19:09:27.908Z). The cause should be investigated and fixed manually. {akkaAddress=akka://mochi@172.18.107.224:31415, sourceThread=mochi-akka.actor.default-dispatcher-21, akkaSource=akka://mochi/user/$be, sourceActorSystem=mochi, akkaTimestamp=16:15:18.162UTC, txnId=49a6ff40-0ab1-4de9-975a-5b26495b0d58}
",1
