log,count
"2021-02-04 01:22:10.810 [INFO] [com.paymaya.kalupi.closer.ReverseTransferCloser] [] [mochi-akka.actor.default-dispatcher-18] - Unexpected AccountRejection BadReversal(19157882-2a81-49ce-90e4-7d64dbcfb2bf,CreditEntryId(f05a1488-3b56-4661-9e9e-94ffc79aa815,1),2021-01-21T16:11:46.191Z). No txn-log entry. {akkaAddress=akka://mochi@172.18.153.7:31415, sourceThread=mochi-akka.actor.default-dispatcher-18, akkaSource=akka://mochi/user/$h, sourceActorSystem=mochi, akkaTimestamp=01:22:10.809UTC, txnId=be2f0148-f3c7-4ac1-ae43-31d428d235ad}
",1
"2021-02-04 01:22:10.817 [INFO] [com.paymaya.kalupi.closer.ReverseTransferCloser] [] [mochi-akka.actor.default-dispatcher-21] - Unexpected AccountRejection BadReversal(4877c7ba-7f7a-472e-9dab-2d17804ff8c7,CreditEntryId(337e6198-37aa-4b1e-8da6-0f9b68ba8b4b,1),2021-01-21T16:11:46.540Z). No txn-log entry. {akkaAddress=akka://mochi@172.18.153.7:31415, sourceThread=mochi-akka.actor.default-dispatcher-21, akkaSource=akka://mochi/user/$k, sourceActorSystem=mochi, akkaTimestamp=01:22:10.817UTC, txnId=ae0e0db7-bc41-4e04-9db1-bf18b9ed2e4a}
",1
"2021-02-04 01:22:10.823 [INFO] [com.paymaya.kalupi.closer.ReverseTransferCloser] [] [mochi-akka.actor.default-dispatcher-21] - Unexpected AccountRejection BadReversal(b655c49e-7cc0-4df1-955e-2069d8ecbc18,CreditEntryId(cff61e79-6863-465d-9206-83e3bfa407b5,1),2021-01-21T16:11:41.192Z). No txn-log entry. {akkaAddress=akka://mochi@172.18.153.7:31415, sourceThread=mochi-akka.actor.default-dispatcher-21, akkaSource=akka://mochi/user/$d, sourceActorSystem=mochi, akkaTimestamp=01:22:10.823UTC, txnId=89fb8749-5478-413c-ac02-98f0b0d87aaf}
",1
"2021-02-04 01:22:10.825 [INFO] [com.paymaya.kalupi.closer.ReverseTransferCloser] [] [mochi-akka.actor.default-dispatcher-18] - Unexpected AccountRejection BadReversal(a5578a33-ab0d-424e-b94a-d8ce72b79666,CreditEntryId(2d008bfc-4a45-4525-9ca2-e5f3ad423070,1),2021-01-21T16:11:41.757Z). No txn-log entry. {akkaAddress=akka://mochi@172.18.153.7:31415, sourceThread=mochi-akka.actor.default-dispatcher-18, akkaSource=akka://mochi/user/$e, sourceActorSystem=mochi, akkaTimestamp=01:22:10.825UTC, txnId=d6f99106-1341-4b08-8371-41ee6520b8c0}
",1
"2021-02-04 13:13:51.389 [INFO] [com.paymaya.kalupi.closer.ReverseTransferCloser] [] [mochi-akka.actor.default-dispatcher-20] - Unexpected AccountRejection BadReversal(a5578a33-ab0d-424e-b94a-d8ce72b79666,CreditEntryId(2d008bfc-4a45-4525-9ca2-e5f3ad423070,1),2021-01-21T16:11:41.757Z). No txn-log entry. {akkaAddress=akka://mochi@172.18.105.164:31415, sourceThread=mochi-akka.actor.default-dispatcher-21, akkaSource=akka://mochi/user/$e, sourceActorSystem=mochi, akkaTimestamp=13:13:51.388UTC, txnId=d6f99106-1341-4b08-8371-41ee6520b8c0}
",1
"2021-02-04 13:13:51.513 [INFO] [com.paymaya.kalupi.closer.ReverseTransferCloser] [] [mochi-akka.actor.default-dispatcher-21] - Unexpected AccountRejection BadReversal(19157882-2a81-49ce-90e4-7d64dbcfb2bf,CreditEntryId(f05a1488-3b56-4661-9e9e-94ffc79aa815,1),2021-01-21T16:11:46.191Z). No txn-log entry. {akkaAddress=akka://mochi@172.18.105.164:31415, sourceThread=mochi-akka.actor.default-dispatcher-20, akkaSource=akka://mochi/user/$h, sourceActorSystem=mochi, akkaTimestamp=13:13:51.513UTC, txnId=be2f0148-f3c7-4ac1-ae43-31d428d235ad}
",1
"2021-02-04 13:13:51.513 [INFO] [com.paymaya.kalupi.closer.ReverseTransferCloser] [] [mochi-akka.actor.default-dispatcher-21] - Unexpected AccountRejection BadReversal(b655c49e-7cc0-4df1-955e-2069d8ecbc18,CreditEntryId(cff61e79-6863-465d-9206-83e3bfa407b5,1),2021-01-21T16:11:41.192Z). No txn-log entry. {akkaAddress=akka://mochi@172.18.105.164:31415, sourceThread=mochi-akka.actor.default-dispatcher-21, akkaSource=akka://mochi/user/$d, sourceActorSystem=mochi, akkaTimestamp=13:13:51.512UTC, txnId=89fb8749-5478-413c-ac02-98f0b0d87aaf}
",1
"2021-02-04 13:13:51.812 [INFO] [com.paymaya.kalupi.closer.ReverseTransferCloser] [] [mochi-akka.actor.default-dispatcher-11] - Unexpected AccountRejection BadReversal(4877c7ba-7f7a-472e-9dab-2d17804ff8c7,CreditEntryId(337e6198-37aa-4b1e-8da6-0f9b68ba8b4b,1),2021-01-21T16:11:46.540Z). No txn-log entry. {akkaAddress=akka://mochi@172.18.105.164:31415, sourceThread=mochi-akka.actor.default-dispatcher-12, akkaSource=akka://mochi/user/$k, sourceActorSystem=mochi, akkaTimestamp=13:13:51.811UTC, txnId=ae0e0db7-bc41-4e04-9db1-bf18b9ed2e4a}
",1
"2021-02-04 13:13:51.963 [INFO] [com.paymaya.kalupi.closer.ReverseTransferCloser] [] [mochi-akka.actor.default-dispatcher-11] - Unexpected AccountRejection BadReversal(2c4d7ae6-2a00-47f5-9319-ff1f07713295,CreditEntryId(0697a04d-70dc-4c8b-a5d7-9f443917bcc2,1),2021-01-21T16:11:56.234Z). No txn-log entry. {akkaAddress=akka://mochi@172.18.105.164:31415, sourceThread=mochi-akka.actor.default-dispatcher-11, akkaSource=akka://mochi/user/$u, sourceActorSystem=mochi, akkaTimestamp=13:13:51.963UTC, txnId=11354744-ae3a-4d06-80a2-699809f46ec9}
",1
"2021-02-04 13:13:51.999 [INFO] [com.paymaya.kalupi.closer.ReverseTransferCloser] [] [mochi-akka.actor.default-dispatcher-12] - Unexpected AccountRejection BadReversal(b655c49e-7cc0-4df1-955e-2069d8ecbc18,CreditEntryId(b8e03ae1-b532-42ab-8e54-9cb1c27fbb93,1),2021-01-21T16:11:56.497Z). No txn-log entry. {akkaAddress=akka://mochi@172.18.105.164:31415, sourceThread=mochi-akka.actor.default-dispatcher-12, akkaSource=akka://mochi/user/$y, sourceActorSystem=mochi, akkaTimestamp=13:13:51.999UTC, txnId=b3017245-ec3d-4983-9ba9-84404cc952d7}
",1
